,output
1470,0
1471,1
1472,1
1474,1
1477,1
1480,0
1481,1
1482,2
1483,1
1484,0
1485,0
1489,2
1491,1
1492,1
1494,0
1495,0
1496,1
1497,0
1498,1
1499,1
1500,0
1501,0
1502,0
1503,1
1504,0
1505,0
1506,0
1507,0
1509,1
1511,1
1513,1
1514,0
1515,0
1516,0
1517,1
1518,1
1519,1
1520,0
1521,1
1522,0
1524,1
1525,1
1526,0
1527,1
1528,1
1529,2
1530,1
1531,1
1532,1
1533,1
1535,1
1536,1
1537,0
1539,1
1540,2
1541,0
1542,0
1543,0
1544,1
1545,1
1546,1
1549,1
1550,0
1551,1
1552,1
1553,0
1555,0
1556,0
1557,2
1558,1
1560,1
1561,1
1562,1
1563,1
1566,1
1567,0
1568,1
1569,1
1570,0
1571,1
1572,1
1573,1
1575,0
1576,1
1577,1
1578,1
1579,0
1580,1
1581,1
1582,0
1583,0
1584,1
1585,2
1586,0
1587,0
1588,0
1589,0
1591,0
1592,1
1594,2
1595,1
1597,0
1598,1
1599,1
1600,1
1601,1
1603,0
1604,0
1607,1
1611,0
1612,0
1613,1
1614,1
1615,2
1616,0
1617,0
1618,1
1619,0
1620,0
1621,1
1622,0
1623,1
1624,1
1626,1
1627,1
1628,0
1629,2
1631,0
1632,1
1633,1
1634,1
1636,0
1637,1
1638,1
1639,0
1643,1
1644,1
1645,0
1646,0
1647,0
1648,1
1649,1
1650,1
1652,1
1653,1
1654,1
1655,1
1656,1
1657,2
1658,1
1659,1
1660,1
1661,1
1662,1
1663,1
1664,1
1665,0
1666,1
1668,1
1669,1
1671,1
1672,1
1673,0
1675,0
1677,1
1678,1
1679,0
1680,0
1681,0
1685,1
1686,1
1687,1
1688,0
1689,0
1690,0
1691,1
1692,2
1693,0
1694,1
1695,0
1696,1
1698,1
1699,1
1700,0
1701,2
1702,0
1704,1
1705,1
1706,0
1707,1
1708,1
1709,1
1710,1
1712,1
1713,1
1714,0
1716,0
1717,0
1718,1
1719,1
1720,1
1724,1
1725,2
1726,0
1727,1
1728,0
1729,0
1730,1
1731,1
1732,0
1733,0
1734,0
1735,1
1736,0
1737,0
1738,0
1739,0
1740,1
1741,0
1742,0
1743,0
1744,1
1745,0
1746,0
1747,0
1748,0
1749,1
1750,1
1751,1
1752,2
1753,0
1754,1
1755,0
1756,1
1760,2
1761,1
1762,1
1763,1
1764,0
1765,1
1766,0
1768,1
1769,0
1770,1
1771,1
1772,0
1773,1
1774,1
1775,1
1777,1
1779,1
1780,2
1781,0
1782,0
1783,2
1784,0
1785,1
1786,2
1787,0
1788,0
1789,1
1790,0
1791,1
1792,1
1793,2
1794,0
1795,1
1796,0
1797,0
1798,0
1799,1
1801,2
1802,0
1803,0
1804,0
1805,1
1806,1
1808,1
1809,1
1810,0
1812,1
1814,1
1815,1
1816,0
1817,1
1818,1
1819,0
1821,0
1822,0
1823,1
1824,1
1825,1
1826,0
1827,2
1828,1
1829,1
1830,0
1831,0
1832,1
1834,0
1835,0
1836,0
1837,1
1838,1
1839,1
1841,1
1842,1
1843,0
1844,0
1845,1
1847,1
1848,2
1849,1
1850,1
1851,1
1852,1
1853,2
1854,0
1856,1
1857,0
1858,0
1860,0
1861,1
1862,1
1863,1
1864,1
1865,0
1866,1
1867,2
1868,0
1869,0
1870,1
1871,1
1872,0
1873,1
1874,1
1875,2
1876,1
1877,2
1878,0
1879,0
1880,0
1881,0
1882,0
1883,2
1884,0
1885,0
1886,0
1887,0
1888,1
1889,1
1890,0
1892,0
1893,0
1894,1
1895,1
1896,1
1897,1
1898,0
1899,0
1900,1
1901,1
1902,2
1903,1
1904,0
1906,0
1907,1
1908,1
1909,2
1911,1
1912,1
1913,0
1915,1
1916,1
1917,0
1919,1
1920,0
1921,0
1923,0
1924,0
1925,0
1926,1
1927,1
1928,1
1929,0
1930,1
1931,1
1932,1
1934,0
1936,1
1937,1
1939,1
1940,0
1941,0
1942,1
1943,1
1944,0
1945,0
1946,1
1947,1
1948,0
1950,1
1951,1
1952,2
1953,0
1954,1
1955,0
1956,0
1957,1
1958,0
1959,1
1960,1
1962,1
1964,1
1966,1
1968,1
1969,1
1970,1
1971,1
1973,0
1974,0
1975,1
1976,1
1977,1
1978,1
1982,1
1983,1
1984,1
1985,1
1986,1
1987,1
1988,1
1989,1
1990,1
1993,0
1995,2
1996,1
1997,1
1998,1
1999,1
2000,0
2002,1
2003,1
2004,0
2005,1
2006,0
2007,1
2008,0
2010,0
2011,1
2012,1
2013,0
2015,0
2016,1
2017,1
2018,0
2019,1
2020,1
2021,0
2022,1
2023,1
2026,1
2027,0
2028,1
2029,1
2030,2
2032,1
2033,0
2034,1
2035,0
2036,0
2037,1
2038,0
2039,0
2041,0
2042,1
2043,1
2047,1
2048,1
2049,1
2050,0
2052,1
2053,1
2054,1
2055,0
2056,1
2057,0
2058,0
2059,0
2060,1
2061,1
2062,1
2064,2
2065,0
2066,1
2067,1
2068,0
2069,1
2070,0
2072,0
2073,0
2074,1
2076,1
2077,1
2078,0
2079,1
2080,0
2081,1
2082,0
2083,2
2084,0
2086,0
2087,1
2088,1
2089,1
2090,0
2091,2
2092,1
2093,1
2095,2
2096,1
2099,1
2100,0
2101,1
2102,1
2103,0
2104,1
2105,1
2106,0
2107,2
2108,1
2110,0
2113,1
2114,1
2116,1
2117,1
2118,0
2120,1
2121,0
2122,1
2123,1
2125,0
2126,1
2128,1
2129,2
2130,0
2131,1
2132,0
2133,1
2134,0
2136,1
2138,1
2139,1
2140,1
2141,1
2142,1
2143,1
2146,1
2148,0
2149,1
2150,1
2151,0
2154,1
2155,1
2157,0
2158,1
2159,0
2160,1
2161,0
2163,1
2165,0
2166,1
2167,2
2168,1
2169,1
2170,1
2171,0
2172,1
2173,2
2175,1
2176,1
2177,1
2178,0
2179,1
2180,1
2181,2
2182,0
2184,1
2185,1
2190,1
2191,2
2192,1
2193,0
2194,1
2195,0
2196,1
2197,1
2198,0
2199,1
2200,0
2201,0
2202,1
2203,1
2204,0
2205,0
2206,1
2207,0
2208,2
2209,1
2210,0
2211,0
2213,1
2215,1
2217,1
2218,1
2219,1
2221,0
2222,0
2223,1
2224,1
2225,0
2226,1
2227,1
2228,1
2229,2
2230,0
2231,0
2232,1
2235,1
2237,1
2238,0
2239,0
2241,1
2242,0
2244,1
2245,1
2247,0
2248,0
2249,1
2250,2
2251,0
2252,0
2254,0
2256,1
2258,2
2259,1
2260,0
2263,1
2264,1
2265,1
2267,0
2268,0
2269,0
2270,1
2271,0
2272,1
2273,2
2274,0
2275,0
2276,1
2277,0
2279,0
2283,1
2284,1
2285,1
2286,0
2287,1
2288,0
2289,1
2290,1
2291,1
2292,2
2293,2
2294,0
2295,0
2298,1
2300,1
2301,0
2302,1
2303,0
2304,2
2307,1
2308,0
2309,1
2310,1
2311,1
2312,2
2313,0
2314,0
2315,1
2316,1
2317,0
2318,1
2319,0
2320,2
2321,0
2323,0
2324,1
2325,1
2326,0
2327,0
2328,1
2329,0
2330,1
2331,0
2332,0
2333,0
2334,0
2335,1
2336,1
2337,1
2338,0
2339,1
2342,1
2343,1
2344,1
2345,1
2346,1
2347,1
2348,0
2349,1
2350,0
2351,1
2352,0
2353,1
2354,0
2355,0
2356,0
2357,0
2358,1
2359,2
2360,1
2362,1
2364,1
2365,0
2366,0
2367,0
2370,1
2371,2
2372,1
2373,0
2374,0
2376,0
2377,1
2379,1
2380,1
2381,0
2382,1
2383,0
2385,0
2386,0
2387,1
2388,1
2389,1
2390,1
2391,1
2392,1
2393,0
2394,2
2395,0
2397,1
2399,0
2401,0
2403,0
2404,0
2405,0
2408,1
2409,1
2410,0
2411,1
2412,1
2413,1
2414,1
2415,1
2416,1
2417,1
2418,0
2419,0
2420,1
2421,0
2422,1
2423,1
2424,0
2425,0
2426,1
2427,0
2428,1
2429,0
2430,2
2431,1
2432,0
2433,1
2434,0
2436,0
2437,1
2438,0
2439,0
2441,1
2442,2
2443,1
2444,1
2445,1
2446,1
2447,0
2448,1
2449,1
2450,2
2451,0
2452,1
2453,1
2455,1
2456,0
2457,0
2458,1
2459,1
2460,0
2461,1
2462,0
2463,1
2464,0
2465,0
2466,0
2467,1
2468,0
2469,1
2470,0
2471,1
2472,0
2473,1
2474,0
2475,1
2476,2
2481,1
2484,0
2485,1
2487,0
2488,1
2489,0
2490,0
2491,0
2492,1
2493,1
2494,0
2495,1
2496,1
2499,1
2500,1
2502,1
2503,0
2504,1
2505,2
2506,1
2507,0
2508,1
2509,0
2510,0
2511,0
2512,1
2513,1
2514,1
2515,2
2516,1
2517,0
2518,0
2519,0
2520,1
2523,0
2524,1
2525,1
2526,0
2529,2
2530,1
2531,0
2533,1
2534,1
2535,0
2537,0
2538,1
2540,1
2541,1
2542,1
2544,1
2545,1
2546,0
2547,0
2549,0
2551,0
2552,0
2554,0
2555,1
2557,1
2558,1
2561,1
2562,0
2563,0
2564,2
2565,0
2566,0
2567,1
2568,0
2569,1
2571,0
2572,0
2573,2
2574,0
2575,0
2576,1
2577,1
2578,1
2579,0
2580,0
2581,0
2583,1
2584,0
2586,1
2587,1
2589,1
2591,1
2592,1
2595,0
2597,1
2598,1
2599,0
2600,0
2601,0
2603,1
2604,0
2605,1
2606,1
2608,1
2609,1
2610,0
2611,1
2612,0
2613,0
2614,0
2615,1
2618,1
2620,1
2621,1
2622,0
2623,1
2624,1
2625,1
2626,1
2627,2
2628,1
2629,1
2630,0
2631,1
2632,1
2633,1
2635,0
2636,1
2637,0
2638,0
2640,1
2641,1
2642,0
2643,1
2645,1
2646,0
2648,1
2649,0
2651,0
2652,1
2653,1
2655,1
2656,1
2657,1
2658,1
2659,1
2660,0
2662,0
2663,1
2664,1
2665,1
2666,1
2667,0
2668,1
2669,0
2670,0
2671,1
2673,0
2674,0
2676,1
2677,1
2679,0
2682,1
2683,0
2684,1
2685,1
2686,2
2687,1
2688,1
2689,0
2690,0
2692,1
2694,0
2696,1
2697,1
2698,0
2699,1
2700,1
2701,1
2703,1
2704,0
2705,1
2707,0
2708,1
2711,0
2712,1
2713,0
2714,1
2715,1
2716,1
2717,1
2719,0
2720,1
2721,1
2722,1
2723,1
2724,2
2725,0
2726,1
2728,0
2730,1
2731,0
2733,1
2734,0
2735,0
2736,0
2737,1
2738,1
2739,2
2740,0
2741,1
2743,1
2744,0
2747,2
2748,1
2750,1
2752,1
2753,1
2754,1
2756,1
2757,1
2758,1
2759,1
2760,1
2761,0
2762,0
2763,2
2764,1
2765,0
2766,1
2767,1
2768,1
2769,0
2770,2
2771,0
2772,1
2773,0
2774,0
2775,1
2777,1
2778,1
2779,0
2780,0
2781,0
2782,1
2783,2
2784,0
2785,1
2786,0
2787,1
2789,0
2790,0
2791,0
2792,0
2793,1
2795,1
2796,1
2797,1
2799,0
2801,0
2802,1
2804,1
2805,1
2806,0
2807,0
2808,0
2809,1
2810,1
2812,1
2813,0
2814,1
2815,1
2819,0
2820,1
2821,1
2822,1
2823,0
2824,1
2825,1
2826,1
2827,1
2828,1
2829,1
2830,1
2831,1
2832,1
2833,1
2834,0
2835,2
2837,0
2838,0
2839,1
2840,0
2841,1
2842,0
2843,1
2844,0
2845,1
2846,0
2848,1
2850,1
2851,1
2852,0
2853,1
2854,1
2856,0
2857,0
2858,0
2859,1
2860,1
2861,1
2862,1
2863,0
2864,0
2865,0
2867,1
2869,0
2870,1
2871,1
2872,1
2873,1
2875,2
2876,0
2877,2
2879,0
2880,1
2882,1
2883,0
2884,1
2885,1
2886,1
2887,1
2888,0
2889,1
2890,1
2891,0
2892,1
2893,1
2894,1
2895,0
2896,0
2897,1
2898,1
2899,0
2900,1
2902,1
2903,1
2904,0
2905,0
2906,1
2908,0
2909,1
2910,1
2911,0
2912,1
2914,1
2915,1
2916,0
2917,2
2918,1
2919,2
2920,0
2921,1
2922,0
2924,0
2925,1
2926,1
2928,0
2929,1
2930,0
2931,1
2932,1
2933,1
2934,1
2936,1
2937,0
2938,1
2941,0
2942,2
2943,0
2944,1
2945,0
2947,0
2948,0
2949,1
2951,0
2952,0
2954,1
2955,0
2956,1
2957,1
2958,0
2959,0
2960,0
2961,1
2962,1
2963,1
2964,1
2965,0
2966,1
2969,0
2970,0
2972,0
2973,1
2974,1
2976,1
2977,1
2978,1
2979,2
2980,1
2981,0
2982,0
2983,1
2984,1
2985,0
2986,1
2988,1
2989,1
2990,1
2991,0
2992,0
2995,1
2996,1
2997,0
2998,1
2999,1
3000,1
3001,1
3002,0
3003,1
3005,1
3006,1
3007,0
3008,0
3009,1
3010,1
3011,0
3012,1
3013,0
3014,0
3015,2
3017,0
3019,1
3020,0
3021,0
3023,1
3024,1
3026,1
3027,0
3028,1
3029,1
3030,0
3031,2
3032,2
3034,1
3035,1
3036,1
3038,0
3039,1
3040,1
3041,1
3043,1
3044,0
3045,2
3046,1
3047,1
3048,1
3051,1
3052,1
3053,1
3054,1
3055,1
3056,1
3057,1
3058,0
3059,0
3060,1
3061,2
3062,2
3063,1
3064,1
3067,0
3069,1
3072,1
3073,0
3074,1
3075,0
3076,1
3077,0
3078,1
3079,1
3081,0
3082,0
3083,0
3084,2
3085,1
3086,1
3087,1
3088,0
3090,0
3091,1
3092,1
3094,1
3095,1
3096,1
3097,2
3098,1
3100,1
3102,1
3103,1
3104,1
3105,0
3106,1
3107,1
3109,1
3110,1
3113,0
3114,1
3115,1
3118,1
3119,1
3120,1
3121,0
3122,1
3123,1
3124,1
3125,1
3127,1
3128,0
3129,1
3130,0
3132,1
3133,0
3134,0
3135,1
3136,0
3137,0
3138,0
3139,1
3140,1
3141,0
3142,1
3144,1
3146,0
3147,1
3148,0
3149,1
3150,0
3151,0
3152,2
3153,1
3154,1
3158,0
3159,1
3161,0
3162,1
3164,0
3165,1
3166,1
3168,1
3169,2
3170,1
3171,0
3172,2
3173,1
3174,1
3175,1
3176,1
3177,1
3178,2
3179,1
3180,1
3181,0
3184,1
3185,0
3186,1
3187,0
3188,1
3189,0
3190,0
3192,1
3193,1
3194,1
3195,0
3196,1
3197,1
3198,1
3200,0
3201,1
3202,1
3203,1
3204,0
3205,0
3206,1
3209,1
3210,1
3211,0
3212,1
3213,1
3214,1
3215,1
3216,1
3217,1
3218,1
3220,1
3221,1
3223,0
3224,0
3225,1
3226,1
3227,2
3228,0
3229,1
3230,0
3231,0
3232,1
3233,1
3234,1
3235,0
3236,1
3238,0
3239,1
3240,1
3241,1
3242,1
3243,1
3244,1
3246,0
3248,1
3249,0
3250,0
3252,1
3254,0
3255,1
3256,0
3257,0
3258,1
3260,1
3261,1
3262,2
3263,1
3264,0
3265,0
3266,1
3269,1
3271,1
3272,0
3274,1
3275,0
3276,0
3277,0
3279,2
3280,0
3281,1
3284,0
3285,1
3286,2
3287,2
3289,0
3290,2
3291,0
3293,1
3296,0
3299,2
3300,1
3301,1
3302,0
3303,1
3304,1
3305,1
3306,1
3307,1
3308,1
3310,1
3311,0
3312,1
3313,1
3314,0
3315,0
3318,0
3319,1
3321,0
3323,0
3324,2
3327,1
3328,1
3330,0
3331,1
3333,1
3334,1
3335,1
3336,0
3337,0
3339,1
3340,0
3341,1
3343,1
3344,0
3345,1
3346,1
3347,1
3348,1
3349,1
3350,1
3351,1
3353,0
3354,0
3355,1
3356,0
3357,1
3358,0
3359,2
3360,1
3361,1
3363,1
3364,2
3365,1
3366,0
3368,2
3371,0
3374,1
3377,0
3379,1
3381,0
3382,1
3385,0
3386,0
3387,0
3388,2
3389,0
3391,0
3392,1
3393,1
3394,1
3395,1
3396,0
3398,1
3399,0
3400,1
3401,1
3402,1
3404,1
3405,1
3406,1
3407,0
3408,1
3409,1
3411,2
3412,1
3413,1
3414,1
3416,1
3417,0
3419,0
3422,1
3423,1
3424,1
3425,1
3426,1
3427,0
3428,1
3429,1
3430,1
3431,0
3432,1
3434,0
3435,0
3436,2
3437,0
3438,0
3440,1
3441,0
3442,0
3443,1
3444,0
3445,0
3447,1
3448,1
3450,1
3451,1
3452,1
3453,0
3454,1
3455,0
3457,1
3459,0
3460,1
3461,1
3462,0
3463,1
3464,1
3465,0
3466,0
3467,0
3468,1
3469,0
3470,1
3471,1
3472,2
3473,1
3474,0
3475,0
3476,1
3477,0
3478,0
3479,1
3480,2
3482,2
3483,0
3485,0
3486,0
3487,1
3488,1
3489,1
3490,0
3491,2
3492,0
3493,2
3494,1
3495,1
3496,1
3497,1
3499,0
3500,0
3501,0
3502,0
3503,0
3504,0
3505,1
3506,0
3507,1
3509,1
3510,0
3511,1
3512,1
3513,1
3514,0
3515,0
3516,0
3518,1
3519,2
3520,0
3521,0
3522,1
3523,0
3525,0
3526,0
3528,0
3529,1
3530,1
3531,1
3532,1
3533,0
3534,1
3535,0
3536,1
3537,1
3538,1
3539,0
3541,1
3542,1
3544,0
3545,1
3546,1
3547,2
3548,0
3549,0
3550,1
3551,1
3552,1
3553,1
3554,1
3556,1
3559,0
3560,1
3561,1
3565,0
3567,0
3568,1
3569,2
3570,1
3572,0
3574,0
3575,1
3576,1
3577,0
3578,0
3579,1
3580,1
3581,0
3582,0
3583,0
3584,0
3585,1
3586,0
3587,1
3589,0
3590,1
3591,1
3592,0
3593,2
3594,0
3595,0
3596,0
3599,0
3600,1
3601,1
3602,1
3603,1
3604,1
3605,1
3606,1
3607,0
3609,1
3611,2
3612,0
3613,2
3615,1
3616,1
3617,0
3618,0
3620,2
3622,0
3623,1
3624,1
3625,0
3626,2
3627,0
3628,0
3629,1
3631,1
3632,1
3633,0
3634,1
3635,1
3636,2
3637,1
3638,1
3639,1
3640,0
3642,1
3643,0
